,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
821,5.125,8.5,7.25,7.625,8.875,9.625,4.875,5.75,9.375,8.75
822,4.0,6.0,5.875,7.0,6.625,8.625,3.75,3.875,7.75,6.625
823,3.5,7.125,5.0,6.25,7.25,8.125,4.5,4.25,7.875,7.75
824,3.125,6.375,4.375,5.625,6.0,7.25,3.5,4.5,6.875,6.5
825,3.5,6.125,6.25,5.5,6.125,8.5,3.625,4.375,7.25,6.125
826,2.25,8.25,5.75,5.5,8.25,6.625,3.625,2.875,6.375,5.875
827,3.0,7.125,5.0,5.875,6.25,7.75,3.25,4.375,8.375,7.25
828,3.875,6.875,5.25,5.625,7.375,7.875,4.25,4.5,8.5,7.625
829,2.25,5.25,3.5,3.125,5.625,6.5,2.0,2.375,5.375,5.375
830,3.5,6.75,6.375,4.75,7.25,9.125,5.125,5.0,7.625,7.875
831,4.375,6.875,7.625,7.75,8.625,7.625,3.625,5.25,8.0,8.25
832,2.875,6.625,6.75,5.0,7.125,7.5,5.625,4.375,8.25,7.375
833,5.25,8.625,7.25,6.5,7.25,8.875,5.875,5.375,9.0,8.25
834,4.5,7.25,5.75,5.375,7.125,8.25,3.875,5.125,7.0,7.0
835,4.25,7.0,6.25,5.125,7.125,8.125,3.5,5.125,8.125,7.0
836,5.125,8.125,6.75,6.375,8.875,9.5625,5.75,7.5,8.625,8.75
837,4.0,7.375,4.625,5.125,6.625,8.125,3.625,5.75,8.5,7.75
838,4.375,8.125,5.75,5.75,8.125,8.625,4.625,5.875,7.5,7.75
839,3.0,6.625,3.75,3.75,6.25,6.375,2.375,3.375,5.75,6.25
840,5.375,7.625,6.6875,5.625,7.5,9.375,5.125,5.625,8.875,7.875
841,4.875,8.875,6.6875,6.125,7.75,9.125,5.5,5.875,9.5,8.0
842,4.125,8.5,4.25,5.5,6.5,7.5,4.125,4.875,8.375,7.375
843,4.75,7.625,5.0,6.75,8.25,9.25,5.875,6.0,9.375,8.375
844,3.0,6.25,4.625,5.125,5.25,7.375,4.125,4.375,6.75,5.5
845,5.25,9.75,6.25,7.0,7.75,9.8125,5.625,5.5,10.625,8.0
846,3.625,7.25,5.5,5.625,7.0,7.5,3.75,4.875,6.625,6.375
847,3.5,7.75,6.75,5.75,7.375,7.875,3.875,4.75,9.625,7.125
848,4.5,7.875,6.625,6.25,7.25,9.125,5.625,5.625,9.375,7.25
849,2.875,6.5,4.25,3.0,5.375,5.875,3.0,3.0,6.125,5.0
850,4.0,5.625,7.75,3.875,7.125,9.0,5.375,5.125,8.125,6.875
851,4.5,8.125,6.875,4.25,8.25,7.5,4.875,5.625,8.0,7.875
852,4.0,8.875,6.6875,6.25,8.75,8.625,6.5,5.375,8.5,7.875
853,5.25,9.875,8.125,5.75,9.5,9.875,7.25,6.625,9.375,8.875
854,4.125,7.875,7.4375,5.125,7.5,8.75,5.625,4.875,8.25,7.0
855,5.25,10.125,7.9375,6.25,8.125,9.125,7.0,6.375,10.375,8.5
856,3.375,8.125,5.625,4.25,6.5,7.0,4.25,5.125,9.625,6.875
857,4.5,8.125,6.75,3.875,7.75,8.875,4.625,5.75,10.875,7.75
858,6.625,10.125,7.6875,7.25,9.25,9.8125,6.625,7.125,9.375,8.625
859,6.0,9.875,7.4375,6.25,8.75,9.25,6.875,7.75,9.75,8.625
860,5.875,9.625,8.125,6.0,9.0625,10.1875,6.5,8.125,9.625,9.375
861,4.25,8.125,6.375,5.0,7.5,8.0,4.875,5.875,8.375,8.0
862,4.25,8.25,5.5,5.25,7.5,8.75,4.75,5.125,8.25,7.625
863,5.75,9.5,6.9375,7.375,8.875,10.6875,6.5,7.5,10.875,11.0
864,4.75,8.75,6.8125,5.875,7.625,10.625,6.75,6.75,10.625,9.75
865,5.125,8.5,7.6875,5.5,8.375,10.375,6.125,6.5,10.0,8.25
866,3.5,8.5,6.0,5.125,6.25,9.8125,7.125,5.875,8.625,7.375
867,4.125,9.75,3.25,5.5,7.375,8.75,4.25,6.0,9.5,9.375
868,3.75,9.125,5.5,4.875,7.5,7.75,5.375,4.25,6.75,7.25
869,3.5,7.125,4.625,4.375,6.625,7.375,4.0,3.75,6.625,6.75
870,3.25,6.5,4.875,3.375,6.125,6.5,5.125,4.625,7.625,7.625
871,4.75,8.375,6.125,5.625,8.0,8.75,5.875,5.625,8.75,8.25
872,3.875,8.0,4.875,5.875,7.625,8.125,4.75,4.125,8.75,6.875
873,2.375,5.875,2.25,2.75,5.0,5.625,2.125,2.75,5.5,5.375
874,5.0,7.75,6.375,5.75,7.25,9.6875,5.125,6.0,7.25,7.375
875,6.0,8.125,7.4375,6.375,8.375,10.6875,5.375,6.625,9.75,8.125
876,4.25,7.75,5.5,7.625,7.0,8.25,4.375,5.375,7.625,6.875
877,4.75,9.25,6.25,7.625,7.5,9.5625,7.25,5.25,10.125,8.25
878,6.0,8.5,6.375,6.875,8.625,9.375,5.5,6.5,8.125,8.375
879,5.25,9.0,5.375,5.75,7.5,9.0,4.875,5.75,8.375,7.375
880,3.375,7.5,6.5625,6.5,7.625,9.25,5.75,5.0,7.75,6.75
881,5.125,9.125,6.625,7.625,8.375,8.5,7.25,6.25,8.875,8.25
882,4.125,7.625,4.125,6.375,6.5,7.875,5.375,4.375,7.375,6.75
883,6.625,8.875,7.0,6.5,8.5,10.0,7.625,7.125,9.5,8.875
884,4.0,5.375,5.25,5.0,6.0,6.5,4.625,5.125,8.125,8.125
885,4.25,6.75,5.125,4.25,5.0,7.5,3.125,5.25,7.0,6.0
886,5.5,8.875,7.0625,6.625,7.25,10.1875,6.25,6.625,9.625,8.75
887,4.25,7.0,4.875,4.375,6.125,9.0,4.625,4.5,8.625,7.25
888,7.0,10.5,8.25,9.0,7.875,9.375,8.875,6.375,11.375,9.125
889,5.25,8.125,5.5,5.875,6.375,8.625,4.875,4.25,8.625,6.625
890,4.25,6.625,5.125,5.75,6.375,7.75,4.125,3.5,7.625,6.5
891,3.875,7.125,4.5,5.25,5.875,7.25,3.5,3.625,7.125,6.25
892,3.625,6.75,2.875,5.375,5.625,6.625,3.25,3.25,6.75,5.625
893,5.625,8.625,5.375,6.75,7.75,9.25,5.875,5.375,9.25,8.125
894,5.625,8.125,5.625,6.375,7.0,8.875,5.125,6.0,8.5,8.125
895,3.5,6.75,3.875,4.375,6.0,6.875,2.875,3.625,7.0,5.875
896,5.25,8.125,6.5,6.375,7.625,8.75,5.125,5.875,7.625,7.25
897,3.5,6.625,4.375,4.75,6.25,7.625,3.5,4.375,8.375,6.375
898,5.375,8.625,5.625,7.0,7.625,9.375,6.375,5.75,8.375,7.5
899,5.625,8.875,6.0,5.75,8.25,10.25,5.875,6.0,8.625,8.375
900,3.75,6.75,4.375,4.5,5.625,8.5,4.5,4.625,7.125,6.375
901,4.0,6.75,5.625,6.0,6.625,7.5,6.125,4.375,8.0,7.875
902,4.625,7.375,5.75,9.25,6.625,9.25,5.0,5.875,8.5,7.625
903,4.625,7.5,4.375,4.0,6.875,8.25,4.875,5.125,8.25,8.125
904,3.5,6.5,3.75,8.0,6.25,6.375,5.625,4.5,8.125,6.125
905,4.125,8.375,4.625,5.5,6.75,9.75,5.625,5.25,10.0,7.875
906,4.25,6.5,4.125,3.875,6.875,7.875,3.625,5.625,7.0,7.5
907,4.875,6.875,5.5,5.75,8.5,8.75,5.375,6.125,9.75,8.625
908,3.25,6.625,3.75,4.0,6.5,7.5,3.375,4.25,7.0,6.375
909,6.125,8.625,4.875,5.0,5.25,8.625,6.875,4.0,8.375,7.25
910,6.125,8.0,6.625,7.5,7.625,8.875,5.125,6.25,9.125,8.0
911,2.875,9.125,5.625,6.5,2.0,7.875,5.875,3.625,6.5,5.5
912,2.25,6.125,3.125,4.75,6.75,6.625,3.5,3.375,7.5,6.625
913,5.375,8.5,4.0,5.25,7.125,8.5,4.75,5.625,9.625,8.625
914,4.75,7.5,4.25,5.375,5.125,7.375,4.375,5.875,7.875,6.875
915,5.125,7.375,4.875,4.125,6.875,9.125,3.375,5.5,8.625,7.0
916,4.125,7.875,6.75,5.625,5.5,9.5,7.125,5.375,9.75,6.875
