,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
448,-20.0,-18.5,-15.9375,-17.5,-16.75,-15.3125,-18.25,-21.375,-19.75,-19.875
449,-20.75,-19.375,-16.625,-18.75,-16.75,-16.625,-19.125,-22.25,-21.375,-19.625
450,-21.625,-20.625,-16.375,-19.5,-18.375,-15.875,-19.25,-22.125,-21.375,-21.125
451,-24.625,-22.5,-18.75,-21.75,-19.625,-20.25,-19.625,-25.5,-25.5,-20.75
452,-23.125,-20.375,-18.375,-19.625,-18.125,-18.5,-19.375,-23.875,-22.625,-21.375
453,-21.375,-19.25,-19.125,-19.0,-17.0,-17.875,-19.5,-22.0,-21.125,-19.5
454,-21.75,-20.75,-16.625,-18.5,-17.125,-16.75,-17.625,-21.875,-21.75,-21.125
455,-21.5,-19.75,-16.625,-18.5,-17.0,-16.75,-19.875,-21.875,-20.5,-20.625
456,-20.5,-18.125,-16.5,-16.875,-15.875,-15.25,-18.125,-21.125,-20.375,-19.125
457,-21.5,-19.25,-16.75,-19.375,-16.875,-16.625,-19.5,-21.875,-20.25,-19.875
458,-22.0,-19.625,-17.0,-20.625,-18.25,-17.5,-18.875,-22.625,-21.875,-21.375
459,-21.25,-18.25,-19.125,-19.625,-17.0,-17.125,-19.25,-22.625,-22.125,-20.0
460,-21.75,-19.875,-16.125,-19.25,-17.0,-16.625,-19.125,-21.375,-22.125,-20.375
461,-21.0,-18.875,-15.9375,-18.375,-16.375,-16.25,-19.25,-21.125,-22.375,-19.625
462,-21.625,-19.375,-16.75,-18.625,-16.875,-16.375,-19.625,-22.0,-22.0,-20.125
463,-21.125,-19.375,-17.25,-18.875,-16.0,-15.5625,-18.875,-21.375,-21.5,-19.0
464,-21.25,-19.5,-16.625,-18.25,-17.5,-16.25,-20.125,-21.75,-21.875,-20.875
465,-19.75,-18.0,-15.5625,-17.5,-16.125,-13.375,-17.375,-20.25,-18.375,-18.625
466,-23.25,-21.125,-16.125,-18.875,-19.875,-16.125,-18.25,-23.625,-22.5,-21.375
467,-22.125,-20.0,-18.625,-19.625,-18.125,-16.875,-20.375,-22.375,-21.875,-21.125
468,-19.25,-17.625,-17.125,-17.125,-16.375,-16.0,-18.5,-20.625,-21.25,-19.375
469,-21.875,-19.875,-18.25,-19.375,-17.75,-18.0,-20.375,-23.125,-23.75,-20.875
470,-23.25,-21.375,-17.875,-17.625,-18.625,-18.25,-21.125,-23.875,-20.75,-21.75
471,-22.625,-20.25,-17.375,-20.125,-17.5,-16.0,-20.25,-22.875,-21.625,-21.625
472,-23.5,-21.25,-18.125,-18.875,-18.625,-17.75,-20.75,-24.0,-23.5,-22.625
473,-20.625,-18.75,-15.8125,-16.75,-16.375,-16.0,-18.75,-21.625,-21.0,-20.125
474,-22.5,-21.0,-17.625,-19.25,-19.0,-17.875,-21.125,-23.625,-23.625,-22.375
475,-23.0,-22.25,-17.5,-19.25,-19.0,-17.625,-22.0,-23.0,-22.625,-22.75
476,-22.625,-21.5,-18.375,-19.875,-19.875,-17.125,-20.5,-21.875,-23.375,-21.5
477,-22.25,-20.25,-17.75,-18.625,-18.625,-16.75,-20.75,-22.625,-21.375,-21.125
478,-22.5,-20.75,-18.125,-19.625,-18.0,-17.0,-21.0,-23.375,-23.0,-22.0
479,-21.875,-20.25,-16.75,-18.5,-17.625,-16.875,-20.625,-23.125,-21.75,-20.875
480,-23.375,-21.25,-17.5,-20.25,-18.75,-17.125,-20.625,-23.875,-22.375,-22.125
481,-23.875,-22.125,-17.875,-21.25,-18.75,-18.5,-21.75,-24.0,-23.75,-22.625
