,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
71,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
72,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
73,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
74,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
75,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
76,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
77,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
78,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
79,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
80,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
81,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
82,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
83,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
84,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
85,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
86,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
87,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
88,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
89,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
90,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
91,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
92,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
93,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
94,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
95,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
96,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
97,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
98,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
99,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
000,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
001,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
002,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
003,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
004,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
005,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
006,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
007,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
008,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
009,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
010,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
011,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
012,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
013,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
014,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
