,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
398,-1.5625,-3.734375,-0.25,2.125,2.25,0.625,7.4375,4.375,-0.625,-0.3125
399,-1.84375,-6.90625,-0.90625,2.875,1.21875,0.03125,5.90625,2.53125,-1.65625,-0.125
400,-2.75,-4.0625,-0.34375,5.1875,3.40625,-0.09375,6.96875,1.59375,-0.78125,0.125
401,-0.53125,-3.65625,-0.90625,4.40625,-0.875,1.65625,6.59375,1.34375,0.3125,0.125
402,-0.125,-3.4375,-0.59375,3.34375,0.25,0.84375,7.40625,1.71875,-0.40625,0.625
403,-1.625,-2.875,0.0625,2.375,2.0625,-0.0625,6.78125,2.8125,-0.875,0.0625
404,-2.0,-1.90625,-1.6875,3.875,2.25,0.625,8.25,1.75,-1.0,-1.5625
405,-0.375,-3.25,-0.15625,3.25,1.71875,-0.15625,8.5,1.84375,-0.65625,0.375
406,-0.40625,-3.40625,-1.5,2.4375,1.25,-0.3125,8.1875,2.65625,-0.8125,0.3125
407,-0.5,-3.4375,-0.96875,3.34375,0.375,-0.5,8.8125,2.09375,-0.90625,0.375
408,-1.6875,-0.90625,-1.5625,0.875,1.375,-0.125,8.0,1.5625,-1.375,-0.4375
409,-0.71875,-3.46875,-1.25,3.3125,0.25,-0.5,7.3125,2.0,-0.09375,-0.125
410,-2.71875,-2.84375,-1.5,2.75,-1.1875,-0.875,7.59375,0.65625,-1.78125,0.0
411,0.25,-4.25,-1.25,2.9375,0.0,-0.09375,5.28125,0.125,-0.78125,0.5625
412,-0.0625,-4.0625,-0.5625,4.4375,-1.75,-0.3125,6.9375,1.0,-1.0625,1.0
413,-0.9375,-5.625,0.09375,2.6875,-1.3125,-0.5625,5.59375,1.40625,-1.90625,-0.375
414,-0.703125,-4.0,-0.5,3.75,-2.625,-0.25,6.9375,0.8125,-1.625,-0.125
415,-1.21875,-4.34375,0.46875,1.375,2.28125,-0.625,7.21875,1.59375,-0.65625,-0.375
416,-0.96875,-3.09375,-0.25,3.625,0.3125,-1.4375,7.53125,1.9375,-1.75,1.0625
417,-1.375,-4.625,0.5625,3.6875,0.9375,-0.25,8.0,2.25,-0.625,1.0
418,-2.375,-1.96875,-0.375,2.75,1.8125,0.4375,7.875,1.8125,-0.3125,0.5
419,-2.75,-6.59375,-2.25,2.5625,1.78125,-1.5625,7.28125,1.90625,-1.65625,-0.5
420,-2.25,-4.4375,1.125,3.0,0.8125,0.625,7.5,0.375,0.125,1.75
421,-1.015625,-5.8125,1.0,5.6875,-2.0,0.0625,6.25,1.375,0.6875,-0.125
422,-1.28125,-4.28125,0.125,5.5625,-1.0,0.4375,7.40625,1.3125,-0.1875,0.4375
423,-1.203125,-4.875,1.25,3.875,-0.1875,-0.0625,6.375,1.4375,-0.75,0.8125
424,-0.90625,-3.71875,0.5625,4.6875,-1.6875,0.9375,7.5,1.875,0.0625,0.3125
425,-1.90625,-4.28125,1.03125,2.5625,0.4375,-0.21875,6.84375,2.15625,-0.78125,0.6875
