,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
275,-7.375,-7.9375,-8.4375,-9.4375,-8.5625,-10.1875,-9.6875,-8.625,-10.4375,-9.75
276,-6.46875,-5.90625,-8.625,-8.8125,-8.125,-9.6875,-8.3125,-8.4375,-9.8125,-8.5
277,-7.0,-6.9375,-9.625,-10.0,-9.1875,-10.125,-8.9375,-8.5,-9.375,-9.3125
278,-7.03125,-5.5625,-9.625,-8.8125,-9.0625,-10.125,-9.125,-7.65625,-8.9375,-9.6875
279,-7.0,-8.5,-8.3125,-9.6875,-8.9375,-10.0,-8.6875,-7.5625,-9.0625,-9.625
280,-6.75,-4.09375,-7.625,-8.1875,-6.8125,-9.875,-8.0,-7.625,-8.6875,-8.875
281,-6.0625,-7.0625,-8.875,-8.3125,-8.9375,-9.875,-9.125,-8.3125,-8.6875,-9.1875
282,-5.4375,-5.59375,-8.4375,-7.78125,-8.75,-9.1875,-8.4375,-8.0625,-8.75,-10.1875
283,-6.5,-6.5625,-8.5,-7.9375,-9.0,-9.4375,-9.375,-7.5,-8.1875,-10.1875
284,-6.125,-4.40625,-8.25,-7.0,-8.625,-7.5625,-8.0625,-8.625,-7.25,-9.9375
285,-6.71875,-6.78125,-8.5,-8.875,-8.6875,-9.8125,-9.625,-7.28125,-8.875,-10.25
286,-5.59375,-4.84375,-8.0625,-8.875,-8.875,-8.8125,-8.25,-7.28125,-8.25,-9.875
287,-6.9375,-6.875,-9.625,-9.9375,-10.5,-10.1875,-8.9375,-7.9375,-9.5625,-9.4375
288,-5.59375,-4.21875,-6.90625,-7.6875,-8.1875,-9.5625,-8.5625,-8.0625,-10.3125,-7.5625
289,-7.46875,-7.59375,-8.9375,-9.3125,-10.1875,-10.25,-9.25,-7.65625,-9.1875,-10.4375
290,-7.03125,-6.40625,-8.6875,-9.625,-8.1875,-9.625,-9.125,-8.0625,-8.625,-10.5625
291,-6.21875,-7.21875,-8.875,-9.625,-9.9375,-9.1875,-8.4375,-7.6875,-8.875,-10.5625
292,-5.9375,-5.9375,-8.375,-7.6875,-9.4375,-8.6875,-8.0,-7.5625,-7.6875,-10.4375
293,-6.75,-7.4375,-8.8125,-8.9375,-8.25,-9.1875,-9.4375,-7.78125,-8.4375,-11.1875
294,-6.125,-6.3125,-9.25,-7.90625,-8.25,-7.9375,-7.75,-8.25,-8.0,-10.3125
295,-6.625,-7.25,-9.0,-9.125,-8.6875,-9.75,-7.96875,-7.5625,-9.625,-9.8125
296,-6.3125,-6.75,-9.125,-8.625,-8.5,-9.375,-8.3125,-7.46875,-9.375,-9.9375
297,-6.5625,-7.875,-9.1875,-9.4375,-8.5625,-9.875,-8.375,-8.3125,-9.3125,-9.375
298,-6.5625,-5.375,-9.0,-8.5,-8.0,-9.375,-8.875,-7.0625,-7.65625,-10.125
299,-6.625,-8.0625,-9.0,-8.9375,-8.1875,-9.8125,-9.3125,-7.71875,-8.5625,-9.375
300,-6.8125,-7.625,-10.625,-10.25,-12.75,-12.5625,-10.0,-8.75,-11.75,-11.125
301,-4.84375,-6.40625,-9.5,-7.25,-8.0625,-8.25,-8.75,-8.4375,-8.125,-9.875
302,-4.71875,-4.96875,-9.8125,-8.375,-8.6875,-8.125,-8.6875,-8.4375,-8.875,-10.3125
303,-5.0,-5.875,-9.25,-9.25,-8.6875,-8.25,-8.8125,-8.25,-8.4375,-10.375
304,-5.46875,-5.28125,-9.4375,-6.4375,-9.0625,-7.90625,-8.25,-8.5,-8.6875,-11.25
305,-4.375,-5.9375,-10.0,-8.875,-8.4375,-9.8125,-8.5,-8.5625,-11.375,-11.5
306,-4.71875,-6.46875,-9.25,-9.25,-8.8125,-8.6875,-8.0,-7.65625,-8.375,-9.375
307,-6.0625,-7.1875,-9.5625,-10.9375,-9.125,-9.0625,-8.75,-7.3125,-8.4375,-10.625
308,-7.46875,-4.9375,-11.125,-12.25,-11.6875,-10.625,-9.25,-7.46875,-9.25,-12.75
309,-6.4375,-8.0,-10.0,-10.625,-9.875,-9.3125,-7.90625,-8.1875,-10.0,-10.0
310,-4.71875,-4.34375,-9.625,-8.875,-8.75,-9.875,-9.5,-9.125,-8.25,-10.375
311,-5.3125,-6.46875,-10.625,-8.1875,-10.375,-9.375,-9.9375,-10.3125,-10.3125,-8.625
312,-4.71875,-6.90625,-9.5,-8.8125,-10.0625,-9.3125,-8.75,-8.5625,-9.4375,-9.375
313,-5.9375,-6.9375,-9.9375,-10.625,-10.625,-10.25,-10.1875,-7.90625,-10.375,-9.0625
314,-6.84375,-5.71875,-10.25,-8.125,-9.75,-9.6875,-9.75,-10.75,-8.0,-10.5
315,-5.6875,-8.375,-9.0625,-9.8125,-8.75,-9.5,-9.3125,-7.65625,-10.5625,-10.5625
316,-5.09375,-6.90625,-10.5,-9.125,-9.4375,-9.875,-7.15625,-8.8125,-14.25,-9.625
317,-5.5625,-7.0625,-9.375,-10.5625,-7.5625,-9.3125,-8.375,-8.375,-9.0625,-9.875
318,-6.0625,-6.3125,-9.625,-9.375,-9.625,-9.5625,-8.9375,-8.75,-9.5,-10.9375
319,-6.125,-8.8125,-9.8125,-9.3125,-9.25,-9.5,-8.0,-8.25,-9.5625,-10.25
320,-5.21875,-6.46875,-9.5,-8.4375,-7.625,-9.625,-8.1875,-8.875,-10.1875,-10.8125
321,-4.03125,-7.75,-9.4375,-5.3125,-9.75,-9.0625,-9.6875,-9.125,-9.3125,-11.25
322,-5.09375,-6.1875,-10.25,-7.84375,-9.625,-8.5625,-8.4375,-9.5625,-10.5625,-10.5625
323,-6.03125,-7.34375,-10.125,-9.5625,-8.5625,-9.5625,-9.25,-8.6875,-10.3125,-10.75
324,-5.25,-7.0,-9.9375,-8.8125,-8.75,-8.625,-7.8125,-9.0625,-9.0625,-10.875
325,-6.0625,-8.4375,-9.1875,-10.0,-7.4375,-10.125,-9.3125,-7.96875,-10.625,-11.8125
326,-6.3125,-7.1875,-10.1875,-9.375,-8.4375,-9.125,-8.125,-8.375,-10.875,-11.0625
327,-5.53125,-7.34375,-9.3125,-9.8125,-8.6875,-10.0625,-9.0625,-7.65625,-9.5625,-11.0625
328,-6.75,-6.0,-9.875,-8.75,-8.3125,-10.125,-9.0,-7.0,-10.5,-11.9375
329,-6.8125,-8.125,-9.9375,-10.0625,-8.25,-10.1875,-9.1875,-7.8125,-10.1875,-11.75
330,-6.65625,-7.09375,-9.9375,-11.125,-9.125,-10.1875,-10.125,-8.9375,-11.5,-11.8125
331,-6.0,-8.375,-9.875,-10.6875,-9.0,-9.6875,-11.0,-8.5625,-9.9375,-12.125
332,-5.84375,-6.71875,-10.125,-8.6875,-9.0,-9.625,-9.4375,-8.5,-10.3125,-12.125
333,-4.4375,-8.5,-9.875,-7.75,-10.875,-9.5,-9.6875,-9.125,-10.0,-9.75
334,-5.625,-5.875,-10.1875,-9.5625,-8.6875,-8.8125,-9.5625,-8.0625,-8.8125,-12.4375
335,-6.0625,-8.625,-10.3125,-10.6875,-9.3125,-10.6875,-9.75,-8.25,-11.6875,-12.375
336,-5.65625,-6.9375,-9.5625,-11.0,-9.875,-10.0625,-8.0625,-9.0,-12.25,-10.5
337,-5.125,-6.625,-10.4375,-10.1875,-9.5625,-10.25,-7.8125,-7.9375,-10.1875,-11.875
338,-8.0,-8.25,-11.25,-13.8125,-11.375,-10.5625,-10.25,-7.0,-10.5625,-13.6875
339,-6.125,-8.875,-11.125,-11.0,-10.75,-10.0,-8.5,-8.125,-10.375,-11.875
340,-6.03125,-6.53125,-10.6875,-9.9375,-9.25,-9.5,-8.125,-8.6875,-9.8125,-12.9375
341,-5.34375,-8.4375,-10.75,-9.6875,-10.0625,-8.9375,-9.375,-9.1875,-9.4375,-12.5
342,-5.0625,-7.0625,-10.0625,-8.5,-10.3125,-9.0,-7.6875,-9.4375,-9.25,-10.8125
343,-4.40625,-6.21875,-9.5625,-8.625,-10.3125,-10.6875,-10.25,-8.875,-13.25,-9.5
344,-5.46875,-6.09375,-10.375,-8.625,-9.6875,-8.6875,-8.4375,-8.3125,-8.625,-11.5
345,-5.625,-7.75,-10.25,-10.0625,-9.3125,-9.875,-8.75,-9.375,-10.6875,-11.625
346,-5.78125,-7.40625,-11.125,-9.875,-9.9375,-9.125,-8.125,-8.6875,-9.875,-11.3125
347,-5.78125,-7.65625,-11.3125,-9.9375,-10.0,-10.375,-8.0625,-8.625,-9.8125,-11.0625
348,-6.625,-7.0,-10.875,-10.0625,-10.125,-10.125,-8.6875,-8.0625,-9.5625,-12.5625
349,-6.0,-8.5625,-10.625,-10.125,-9.875,-10.375,-8.8125,-8.4375,-9.625,-12.1875
350,-5.4375,-6.78125,-7.90625,-8.6875,-8.4375,-9.875,-9.0,-8.25,-9.8125,-10.125
351,-5.03125,-10.0,-10.0625,-10.1875,-11.1875,-11.4375,-10.9375,-9.0625,-9.1875,-12.5
352,-4.59375,-7.03125,-8.8125,-7.90625,-9.1875,-10.25,-9.0625,-9.125,-10.125,-11.5625
353,-5.9375,-9.1875,-9.375,-9.875,-10.3125,-11.375,-9.75,-8.875,-11.25,-12.625
354,-4.3125,-6.3125,-9.0625,-8.8125,-10.8125,-10.0,-8.625,-8.625,-9.9375,-11.8125
355,-4.9375,-7.0,-9.1875,-9.6875,-9.625,-11.375,-8.9375,-9.1875,-11.4375,-11.8125
356,-3.953125,-6.96875,-9.0,-8.375,-10.6875,-10.125,-7.15625,-9.1875,-11.0,-11.125
357,-6.0625,-9.25,-9.5,-10.9375,-13.0625,-11.5625,-8.125,-8.8125,-10.1875,-12.3125
358,-4.625,-4.875,-6.8125,-8.5,-9.875,-9.9375,-8.25,-7.625,-8.5,-11.8125
359,-5.40625,-9.25,-8.9375,-9.25,-10.1875,-11.1875,-8.4375,-9.3125,-10.75,-11.5625
360,-6.84375,-2.359375,-9.625,-9.3125,-9.8125,-11.375,-9.375,-10.125,-14.5625,-8.375
361,-4.53125,-8.9375,-9.5,-8.125,-10.3125,-10.625,-8.875,-9.5625,-10.125,-10.9375
362,-4.5625,-7.6875,-10.0625,-8.875,-11.0,-9.875,-7.875,-9.1875,-9.875,-11.875
363,-5.46875,-7.34375,-9.625,-9.5,-9.375,-10.375,-8.875,-8.9375,-9.625,-11.0
364,-5.40625,-5.03125,-9.8125,-8.0625,-9.625,-9.25,-8.0,-8.1875,-9.0625,-11.375
365,-6.46875,-8.25,-9.0625,-10.4375,-9.3125,-10.375,-8.9375,-9.375,-11.9375,-8.5
366,-5.53125,-5.15625,-7.5,-10.5,-8.6875,-9.5,-7.9375,-7.46875,-9.25,-9.5
367,-5.90625,-8.375,-9.9375,-11.5,-9.125,-10.0,-7.75,-7.75,-10.125,-11.25
