,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
865,19.375,21.125,21.75,22.125,18.75,19.75,17.0,18.125,20.875,19.25
866,18.625,20.375,20.625,20.875,16.5,17.875,16.625,15.0,20.875,16.625
867,15.5,17.625,18.875,17.875,15.125,15.625,13.125,14.5,18.125,15.0
868,18.5,20.5,20.375,19.0,17.5,17.875,16.75,15.0,20.375,16.625
869,17.625,19.375,20.5,18.75,18.25,17.875,16.625,16.875,21.375,17.125
870,17.0,18.5,18.625,18.0,17.0,17.125,13.75,15.125,19.5,15.625
871,19.75,20.5,20.0,18.375,18.0,17.25,14.625,15.125,19.625,17.5
872,19.5,20.375,21.75,20.375,16.875,19.375,15.75,16.125,20.375,17.875
873,20.75,22.875,22.75,21.5,19.375,20.0,17.875,18.125,21.25,21.0
874,22.5,24.125,23.25,22.125,21.375,21.625,17.25,18.5,23.875,20.875
875,21.0,20.875,20.375,19.5,17.875,18.0,14.375,16.0,20.75,17.875
876,20.625,20.625,22.125,20.375,19.125,19.5,17.125,16.875,21.25,19.125
877,20.125,20.375,21.5,19.25,17.875,18.25,15.25,15.5,20.625,18.25
878,16.75,19.375,20.625,16.625,18.0,17.75,15.125,15.625,19.0,16.25
879,18.375,20.625,21.0,18.25,17.0,18.0,14.25,16.25,19.0,16.375
880,20.125,21.5,22.0,21.25,19.0,18.875,15.5,15.625,20.125,18.25
881,17.0,17.25,18.75,18.375,16.125,15.0,13.125,12.875,18.25,15.0
882,14.625,15.375,16.625,15.0,13.25,12.625,10.875,10.25,15.875,12.75
883,16.625,18.875,19.5,18.75,16.75,15.75,13.75,14.5,19.625,16.75
884,17.875,19.875,21.375,19.375,16.625,17.25,15.75,16.25,20.25,16.0
885,20.375,22.125,23.75,22.375,20.125,21.25,17.125,18.375,22.75,20.125
886,14.75,16.75,17.75,15.625,11.75,13.375,11.25,10.5,15.625,14.125
887,19.0,20.375,21.875,20.75,18.125,18.5,14.875,16.25,20.625,18.625
888,21.0,22.25,23.625,22.25,19.0,19.375,17.875,17.5,21.75,19.625
889,17.875,18.375,19.375,17.5,15.125,15.875,13.25,13.875,16.875,15.125
890,19.5,21.125,21.375,20.875,19.5,20.375,15.625,16.0,21.125,17.125
891,18.625,19.5,21.625,19.5,18.875,18.875,16.0,16.125,21.25,16.5
892,19.5,20.375,21.875,19.625,17.75,18.375,16.0,16.625,20.375,17.75
893,20.0,20.75,22.75,21.0,18.625,19.75,16.875,17.375,22.25,17.875
894,22.75,23.5,23.75,22.625,19.875,21.0,19.125,20.25,23.875,20.25
895,18.625,19.5,21.125,19.75,17.125,18.0,14.5,16.0,20.125,17.875
896,19.25,21.25,22.625,20.625,18.25,19.5,17.5,17.625,21.5,19.0
897,19.125,21.625,23.75,20.25,18.125,19.125,16.5,18.375,20.5,19.75
898,19.125,19.75,22.25,19.0,17.625,17.875,16.75,17.125,20.125,18.125
899,19.375,20.0,20.875,19.5,17.375,18.0,16.875,16.875,19.625,17.25
900,18.75,18.75,20.875,20.125,18.375,18.5,15.625,16.625,20.5,18.125
901,15.75,15.375,18.25,15.25,14.0,14.625,11.625,13.25,16.75,13.875
902,19.0,20.0,21.0,19.875,18.25,18.875,15.5,15.75,20.625,18.5
903,15.25,16.375,17.875,16.25,14.125,14.875,11.625,13.125,18.25,14.5
904,17.375,18.375,19.875,18.5,16.25,16.625,13.625,14.125,19.375,15.25
905,19.375,20.125,21.0,21.25,17.375,18.75,17.375,18.625,22.125,17.625
906,17.625,18.0,18.5,18.25,15.375,15.875,15.5,14.625,20.0,15.75
907,19.0,19.75,21.0,19.625,16.75,17.0,15.75,16.625,21.375,19.0
908,18.625,20.125,19.75,19.375,16.875,17.375,15.125,15.75,21.0,16.5
909,16.375,17.0,19.125,16.875,15.5,16.25,12.875,14.25,17.875,14.875
